#name	name2
XM_011510228.3	LPGAT1
XM_005273362.3	LPGAT1
NM_014053.4	FLVCR1
XM_011509448.1	FLVCR1
XM_011509447.2	FLVCR1
XM_011509446.3	FLVCR1
XR_921769.1	FLVCR1
XR_426772.3	FLVCR1
XR_426771.1	FLVCR1
XR_247024.3	FLVCR1
NR_037850.2	PROX1-AS1
NM_206933.3	USH2A
XM_017000638.2	ESRRG
XM_024453975.1	ESRRG
XM_011509266.3	ESRRG
XM_017000631.2	ESRRG
XM_024453959.1	ESRRG
XM_017000632.2	ESRRG
XM_017000634.2	ESRRG
XM_011509274.1	ESRRG
XM_011509278.1	ESRRG
XM_017000645.1	ESRRG
XM_017000637.1	ESRRG
XM_024453979.1	ESRRG
XM_017000621.2	ESRRG
XM_011509265.3	ESRRG
XM_017000624.2	ESRRG
XM_024453960.1	ESRRG
XM_011509275.1	ESRRG
XM_017000644.1	ESRRG
XM_011509277.1	ESRRG
NM_206594.2	ESRRG
XM_017000622.1	ESRRG
XM_024453980.1	ESRRG
XM_017000633.1	ESRRG
XM_017000639.1	ESRRG
XM_017000625.1	ESRRG
NM_001243509.2	ESRRG
NM_001243507.2	ESRRG
NM_001350125.2	ESRRG
NM_001350123.2	ESRRG
NM_206595.3	ESRRG
NM_001243506.2	ESRRG
NM_001243505.2	ESRRG
NM_001350122.2	ESRRG
NM_001134285.3	ESRRG
NM_001350124.2	ESRRG
NM_001243510.3	ESRRG
NM_001243511.3	ESRRG
NR_038845.1	LYPLAL1-DT
NM_012414.4	RAB3GAP2
XM_017001586.1	SUSD4
XM_011509685.1	SUSD4
XM_017001588.1	SUSD4
XM_017001585.1	SUSD4
XM_005273169.1	SUSD4
XM_017001587.1	SUSD4
XM_011509687.1	SUSD4
XM_005273172.1	SUSD4
XM_006711408.2	SUSD4
XM_017001584.1	SUSD4
XM_017001583.1	SUSD4
XM_024447936.1	SUSD4
XM_024447937.1	SUSD4
NM_017982.4	SUSD4
NM_001037175.3	SUSD4
XM_017001589.1	SUSD4
XM_024447940.1	SUSD4
NM_025160.6	WDR26
XM_005273273.5	WDR26
XM_006711817.4	WDR26
NM_001115113.3	WDR26
XR_002957642.1	WDR26
XR_002957643.1	WDR26
XR_001737437.2	WDR26
XM_011544282.2	WDR26
XM_017002396.1	WDR26
XM_011544281.2	WDR26
XR_002957644.1	WDR26
NM_001314021.1	URB2
XM_005273360.3	URB2
NM_014777.4	URB2
NM_001145036.2	COG2
NM_007357.3	COG2
NR_028400.1	TSNAX-DISC1
NR_028398.1	TSNAX-DISC1
NR_028396.1	TSNAX-DISC1
NR_028397.1	TSNAX-DISC1
NR_028395.1	TSNAX-DISC1
NR_028394.1	TSNAX-DISC1
NR_028393.1	TSNAX-DISC1
NM_001164551.2	DISC1
NM_001164549.2	DISC1
NM_001164539.2	DISC1
NM_001012959.2	DISC1
NM_001164546.2	DISC1
NM_001164542.2	DISC1
NM_001164547.2	DISC1
NM_001164541.2	DISC1
NM_001164538.2	DISC1
NM_001164540.2	DISC1
NM_001012957.2	DISC1
NM_018662.3	DISC1
NM_001164537.2	DISC1
NM_001164555.1	DISC1
NM_001164556.1	DISC1
NM_001164548.1	DISC1
NM_001164545.1	DISC1
NM_001164544.1	DISC1
XR_001738545.1	LOC105373215
XR_001738542.1	LOC105373215
